sheet,country_or_territory,population1_july_2022,population1_july_2023,change,un_continentalregion1,un_statisticalsubregion1,vtelists_of_countriesbypopulation_statistics,col_2,duplicate_row
Sheet1,Solomon Islands,"781,066","800,005",+2.42%,Oceania,Melanesia,,,False
Sheet1,Bhutan,"780,914","786,385",+0.70%,Asia,Southern Asia,,,False
Sheet1,Macao(China)[t],"704,356","713,912",+1.36%,Asia,Eastern Asia,,,False
Sheet1,Luxembourg,"653,313","665,098",+1.80%,Europe,Western Europe,,,False
Sheet1,Montenegro,"614,648","633,552",+3.08%,Europe,Southern Europe,,,False
Sheet1,Suriname,"623,164","628,886",+0.92%,Americas,South America,,,False
Sheet1,Western Sahara(disputed),"568,739","579,729",+1.93%,Africa,Northern Africa,,,False
Sheet1,Malta,"528,192","532,956",+0.90%,Europe,Southern Europe,,,False
Sheet1,Maldives,"524,106","525,994",+0.36%,Asia,Southern Asia,,,False
Sheet1,Cape Verde,"519,741","522,331",+0.50%,Africa,Western Africa,,,False
Sheet1,Brunei,"455,370","458,949",+0.79%,Asia,South-eastern Asia,,,False
Sheet1,Belize,"402,733","411,106",+2.08%,Americas,Central America,,,False
Sheet1,Bahamas,"397,538","399,440",+0.48%,Americas,Caribbean,,,False
Sheet1,Iceland,"380,356","387,558",+1.89%,Europe,Northern Europe,,,False
Sheet1,Guadeloupe(France),"384,697","376,517",−2.13%,Americas,Caribbean,,,False
Sheet1,Martinique(France),"349,459","346,002",−0.99%,Americas,Caribbean,,,False
Sheet1,Vanuatu,"313,046","320,409",+2.35%,Oceania,Melanesia,,,False
Sheet1,Mayotte(France),"305,269","316,015",+3.52%,Africa,Eastern Africa,,,False
Sheet1,French Guiana(France),"298,306","303,402",+1.71%,Americas,South America,,,False
Sheet1,New Caledonia(France),"287,123","289,870",+0.96%,Oceania,Melanesia,,,False
Sheet1,Barbados,"288,318","282,336",−2.07%,Americas,Caribbean,,,False
Sheet1,French Polynesia(France),"280,378","281,118",+0.26%,Oceania,Polynesia,,,False
Sheet1,São Tomé and Príncipe,"226,305","230,871",+2.02%,Africa,Middle Africa,,,False
Sheet1,Samoa,"215,261","216,663",+0.65%,Oceania,Polynesia,,,False
Sheet1,Curaçao(Netherlands),"185,345","185,427",+0.04%,Americas,Caribbean,,,False
Sheet1,Saint Lucia,"178,781","179,285",+0.28%,Americas,Caribbean,,,False
Sheet1,Guam(United States),"165,180","166,506",+0.80%,Oceania,Micronesia,,,False
Sheet1,Kiribati,"130,469","132,530",+1.58%,Oceania,Micronesia,,,False
Sheet1,Seychelles,"125,522","127,951",+1.94%,Africa,Eastern Africa,,,False
Sheet1,Grenada,"116,913","117,081",+0.14%,Americas,Caribbean,,,False
Sheet1,Federated States of Micronesia,"112,114","112,630",+0.46%,Oceania,Micronesia,,,False
Sheet1,Tonga,"105,042","104,597",−0.42%,Oceania,Polynesia,,,False
Sheet1,Aruba(Netherlands),"107,782","107,939",+0.15%,Americas,Caribbean,,,False
Sheet1,Jersey(United Kingdom),"103,490","103,674",+0.18%,Europe,Northern Europe,,,False
Sheet1,Saint Vincent and the Grenadines,"102,046","101,323",−0.71%,Americas,Caribbean,,,False
Sheet1,Antigua and Barbuda,"92,840","93,316",+0.51%,Americas,Caribbean,,,False
Sheet1,U.S. Virgin Islands(United States),"86,507","85,701",−0.93%,Americas,Caribbean,,,False
Sheet1,Isle of Man(United Kingdom),"84,132","84,165",+0.04%,Europe,Northern Europe,,,False
Sheet1,Andorra,"79,705","80,856",+1.44%,Europe,Southern Europe,,,False
Sheet1,Cayman Islands(United Kingdom),"71,591","73,038",+2.02%,Americas,Caribbean,,,False
Sheet1,Dominica,"66,826","66,510",−0.47%,Americas,Caribbean,,,False
Sheet1,Bermuda(United Kingdom),"64,749","64,698",−0.08%,Americas,Northern America,,,False
Sheet1,Guernsey(United Kingdom),"63,725","64,017",+0.46%,Europe,Northern Europe,,,False
Sheet1,Greenland(Denmark),"54,990","55,922",+1.69%,Americas,Northern America,,,False
Sheet1,Faroe Islands(Denmark),"54,011","54,714",+1.30%,Europe,Northern Europe,,,False
Sheet1,American Samoa(United States),"48,342","47,521",−1.70%,Oceania,Polynesia,,,False
Sheet1,Saint Kitts and Nevis,"46,709","46,758",+0.10%,Americas,Caribbean,,,False
Sheet1,Turks and Caicos Islands(United Kingdom),"45,847","46,198",+0.77%,Americas,Caribbean,,,False
Sheet1,Northern Mariana Islands(United States),"46,078","45,143",−2.03%,Oceania,Micronesia,,,False
Sheet1,Sint Maarten(Netherlands),"42,139","42,749",+1.45%,Americas,Caribbean,,,False
Sheet1,Liechtenstein,"39,317","39,598",+0.71%,Europe,Western Europe,,,False
Sheet1,British Virgin Islands(United Kingdom),"38,319","38,985",+1.74%,Americas,Caribbean,,,False
Sheet1,Monaco,"38,931","38,956",+0.06%,Europe,Western Europe,,,False
Sheet1,Gibraltar(United Kingdom),"37,609","38,471",+2.29%,Europe,Southern Europe,,,False
Sheet1,Marshall Islands,"40,077","38,827",−3.12%,Oceania,Micronesia,,,False
Sheet1,San Marino,"34,090","33,733",−1.05%,Europe,Southern Europe,,,False
Sheet1,Caribbean Netherlands(Netherlands)[u],"28,627","29,898",+4.44%,Americas,Caribbean,,,False
Sheet1,Saint Martin(France),"28,870","27,515",−4.69%,Americas,Caribbean,,,False
Sheet1,Palau,"17,759","17,727",−0.18%,Oceania,Micronesia,,,False
Sheet1,Anguilla(United Kingdom),"14,180","14,410",+1.62%,Americas,Caribbean,,,False
Sheet1,Cook Islands,"14,723","14,222",−3.40%,Oceania,Polynesia,,,False
Sheet1,Nauru,"11,801","11,875",+0.63%,Oceania,Micronesia,,,False
Sheet1,Wallis and Futuna(France),"11,478","11,370",−0.94%,Oceania,Polynesia,,,False
Sheet1,Saint Barthélemy(France),"10,920","11,085",+1.51%,Americas,Caribbean,,,False
Sheet1,Tuvalu,"9,992","9,816",−1.76%,Oceania,Polynesia,,,False
Sheet1,Saint Pierre and Miquelon(France),"5,732","5,681",−0.89%,Americas,Northern America,,,False
Sheet1,Saint Helena(United Kingdom)[v],"5,343","5,289",−1.01%,Africa,Western Africa,,,False
Sheet1,Montserrat(United Kingdom),"4,453","4,420",−0.74%,Americas,Caribbean,,,False
Sheet1,Falkland Islands(United Kingdom),"3,490","3,477",−0.37%,Americas,South America,,,False
Sheet1,Tokelau(New Zealand),"2,290","2,397",+4.67%,Oceania,Polynesia,,,False
Sheet1,Niue,"1,821","1,817",−0.22%,Oceania,Polynesia,,,False
Sheet1,Vatican City[w],505,496,−1.78%,Europe,Southern Europe,,,False
Sheet1,,,,,,,Global,Current populationUnited NationsDemographics of the world,False
Sheet1,,,,,,,Continents/subregions,AfricaAntarcticaAsiaEuropeNorth AmericaCaribbeanOceaniaSouth America,False
Sheet1,,,,,,,Intercontinental,AmericasArab worldCommonwealth of NationsEurasiaEuropean UnionIslandsLatin AmericaMiddle East,False
Sheet1,,,,,,,Cities/urban areas,World citiesNational capitalsMegacitiesMegalopolises,False
Sheet1,,,,,,,Past and future,Past and future populationEstimates of historical world populationHuman population projections1100015001600170018001900193919892000200520102015Population milestones,False
Sheet1,,,,,,,Population density,Current densityPast and future population densityPerson-to-arable land ratio,False
Sheet1,,,,,,,Growth indicators,Population growth rateNatural increaseNet reproduction rateNumber of birthsNumber of deathsBirth rateMortality rateFertility ratePast fertility rate,False
Sheet1,,,,,,,Life expectancy,WorldAfricaAsiaEuropeNorth AmericaOceaniaSouth Americaworld regionspast life expectancy,False
Sheet1,,,,,,,Otherdemographics,Age at childbearingAge at first marriageAge structureDependency ratioDivorce rateEthnic and cultural diversity levelEthnic compositionImmigrant populationLinguistic diversityMedian ageNet migration rateNumber of householdsReligion/IrreligionSex ratioUrban populationUrbanization,False
Sheet1,,,,,,,Health,Antidepressant consumptionAntiviral medications for pandemic influenzaHIV/AIDS adult prevalence rateInfant and under-five mortality ratesMaternal mortality rateObesity ratePercentage suffering from undernourishmentHealth expenditure by country by type of financingSuicide rateTotal health expenditure per capitaHealth spending as % of GDPBody mass index(BMI),False
Sheet1,,,,,,,Education and innovation,Bloomberg Innovation IndexEducation IndexGlobal Innovation IndexInternational Innovation IndexLiteracy rateProgramme for the International Assessment of Adult CompetenciesProgramme for International Student Assessment(PISA)Progress in International Reading Literacy Study(PIRLS)Trends in International Mathematics and Science Study(TIMSS)Tertiary education attainmentWorld Intellectual Property Indicators,False
Sheet1,,,,,,,Economic,Access to financial servicesDevelopment aid donorsOfficial Development Assistance receivedEmployment rateIrrigated land areaHuman Development Indexby countryinequality-adjustedplanetary pressures–adjusted HDIHuman Poverty IndexImportsExportsIncome inequalityLabour forceShare of income of top 1%Number of millionaires (US dollars)Number of billionaires (US dollars)Percentage living in povertyPublic sectorUnemployment rateWealth inequality,False
Sheet1,,,,,,,List of international rankingsLists by country,,False
